,Time,Subcar_0,Subcar_1,Subcar_2,Subcar_3,Subcar_4,Subcar_5,Subcar_6,Subcar_7,Subcar_8,Subcar_9,Subcar_10,Subcar_11,Subcar_12,Subcar_13,Subcar_14,Subcar_15,Subcar_16,Subcar_17,Subcar_18,Subcar_19,Subcar_20,Subcar_21,Subcar_22,Subcar_23,Subcar_24,Subcar_25,Subcar_26,Subcar_27,Subcar_28,Subcar_29,Subcar_30,Subcar_31,Subcar_32,Subcar_33,Subcar_34,Subcar_35,Subcar_36Subcar_37,Subcar_38,Subcar_39,Subcar_40,Subcar_41,Subcar_42,Subcar_43,Subcar_44,Subcar_45,Subcar_46,Subcar_47,Subcar_48,Subcar_49,Subcar_50,Subcar_51,Subcar_52,Subcar_53,Subcar_54,Subcar_55,Subcar_56,Subcar_57,Subcar_58,Subcar_59,Subcar_60,Subcar_61
10,1641598550,5499.938181,7461.867126,6230.129694,8741.921642,633.0347542,667.0839527,691.1128707,701.4855665,678.5521351,677.7846266,655.3319769,646.6938998,654.083328,689.8441853,730.5758003,789.8765726,840.7199296,865.4045297,874.8697046,841.9079522,819.1275847,785.684415,746.8982528,700.4091661,654.8679256,586.3872441,532.6030417,481.7686167,424.1697773,371.3556247,286.6251908,184.0027174,6669.443305,191.4418972,298.1358751,359.3396722,401.4423994,438.8576079,466.5125936,494.6524032,515.9815888,534.195657,552.7612505,586.2465352,602.3985392,617.2236224,632.1811449,620.3458713,603.5760101,564.030141,531.5834836,497.9929718,472.4838622,470.2084644,476.3297177,498.8386513,515.0155337,528.0956353,531.1544032,503.8501761,476.3863978
11,1641598551,5499.938181,7461.867126,6230.129694,8741.921642,226.920691,260.9099462,282.0283674,268.5162937,242.9897117,233.1179959,229.6127174,184.2009772,186.4617923,192.6265818,197.2941966,211.1492363,246.1970755,266.1296676,285.7586394,282.1435805,301.7714367,357.3023929,373.2264728,405.5613394,420.6720813,457.5117485,488.3287827,501.5665459,530.3772242,527.3983314,462.2131543,318.5733824,6669.443305,360.4941054,572.6473609,693.7903141,764.2538845,820.1664465,874.0617827,911.0922017,935.5239174,971.0926835,1013.390843,1051.867387,1047.35906,1053.671676,1062.346459,1031.544473,985.1142066,914.2778571,844.5827372,789.3319961,723.1500536,702.9224708,713.7345445,700.6125891,705.8795931,698.0723458,678.6574983,641.0280805,591.3137915
12,1641598552,5499.938181,7461.867126,6230.129694,8741.921642,432.0416647,428.3234759,426.4985346,421.5210552,417.4122662,411.7341375,406.0997414,397.2467747,436.2396131,476.0042017,530.5035344,593.5941374,657.5598832,723.0110649,760.3696469,785.9013933,784.7171465,766.8141887,740.1418783,701.5996009,656,598.601704,539.5600059,458.2619338,374.2298759,288.0277764,201.3405076,99.84988733,6669.443305,33.10589071,35.44009029,72.53275122,132.2006051,195.3893549,266.7376989,311.9647416,398.3691755,453.163326,515.7072813,572.2420816,626.0239612,678.7554788,710.070419,726.3952092,721.1802826,700.0414273,669.2159592,645.1914445,632.064079,619.0516941,651.8189933,674.0474761,687,695.1668864,697.9699134,686.2863834,672.0535693
13,1641598552,5499.938181,7461.867126,6230.129694,8741.921642,461.7542637,457.0700165,453.927307,450.7815435,448.1573384,442.538134,441.1076966,438.9122919,464.2628566,503.2544088,560.4658776,627.8423369,697.3894178,753.4036103,795.2766814,813.6055555,813.0614983,802.2923407,781.4000256,753.0325358,713.0568,645.012403,593.9840065,513.6000389,424.4997055,332.6153935,246.8299009,123.9112586,6669.443305,69.77105417,34.05877273,28.31960452,71.11961755,134.3167897,204.726647,270.675082,338.0133133,396.2486593,454.666911,513.3585492,566.2199219,616.6117093,654.7304789,671.0894128,670.8539334,656.3969835,634.6337526,619.6910521,612.0457499,593.1374208,627.6320578,637.4260741,649.5429162,660.2696419,662.8763082,663.9819275,652.4423346
14,1641598552,5499.938181,7461.867126,6230.129694,8741.921642,525.0952295,509.6547851,497.4344178,481.6565166,460.3791915,449.2349051,441.9875564,450.4275746,468.5093382,504.7900554,556.0224816,616.9473235,684.1125638,745.2140632,788.3964739,813.7444316,814.4943216,805.7605103,782.8882423,751.9740687,717.649636,677.2311275,614.1929664,544.6292317,461.853873,370.653477,275.3924472,150.8409759,6669.443305,75.96051606,60.13318551,59.30430001,85.61541917,136.0588108,194.537914,248.032256,297.9345566,353.8361203,409.2004399,472.0603775,525.7537446,570.0219294,610.7208855,632.1787722,635.0118109,631.1846006,611.5226897,595.5249785,585.77214,585.6697021,600.243284,616.4965531,632.2950261,649.7768848,656.0030488,660.0007576,657.3895344
15,1641598553,5499.938181,7461.867126,6230.129694,8741.921642,320.0281238,380.3603555,423.0957338,461.824642,475.6311596,494.0303634,509.3839416,511.981445,566.7142137,611.2094567,682.7019848,752.5403644,816.8622895,886.3611002,932.783469,929.3309421,929.3922746,883.8014483,858.4783049,836.5745633,828.7225109,781.5894063,771.8445439,721.6266348,678.0811161,642.3931818,542.8526504,354.3797398,6669.443305,371.4969717,562.417994,654.4990451,681.5541064,703.3249605,730.3273239,729.0438944,735.5324602,724.3680004,723.5647863,730.1506694,749.69994,751.0046604,753.329941,717.1561894,672.0364573,625.9472821,573.2547427,533.240096,512.6099882,488.8118247,506.764245,500.0899919,490.8054604,489.00409,475.394573,446.7863024,409.1760013
16,1641598554,5499.938181,7461.867126,6230.129694,8741.921642,232.1421978,224.6285823,216.8432614,203.0591047,181.6865433,178.4404663,181.1215062,189.7076699,198.6680649,227.0550594,262.9239434,286.6670543,331.0135949,351.1353016,375.9255245,373.1487639,379.3072633,403.0446625,378.3397944,364.92739,359.5775299,359.2269478,397.292084,416.0588901,441.977375,433.6323327,379.4377419,276.2209261,6669.443305,341.2989892,535.4344031,636.9246423,699.7042232,734.0980861,775.0987034,757.4067599,769.3874187,779.2368061,781.7071063,785.1624036,740.0108107,709.4744534,673.7655379,629.3846201,554.1525061,480.934507,397.0793372,337.6995706,293.4706118,258.7682361,268.3654225,261.8415551,242.1012185,286.2044724,269.081772,272.9578722,275.187209
17,1641598555,5499.938181,7461.867126,6230.129694,8741.921642,339.6660124,352.2782991,376.51162,392.390112,410.698186,426.9203673,436.010321,459.6444278,477.0681293,520.3892774,579.0138168,632.82304,699.3060846,761.8405345,782.9342246,796.4427161,790.3480246,827.9643712,828.8335177,831.2520677,818.2921239,817.7487389,817.2979873,818.0739575,805.1397394,764.7143257,658.0410322,430.5124853,6669.443305,455.8168492,681.23711,794.8641393,858.9441193,875.6854458,889.8792053,885.8002032,881.9297024,903.2967397,889.2345023,889.5689968,860.6189633,842.4873886,831.2809393,798.2042345,724.0690575,649.4897998,589.5023325,538.9666038,497.1478653,477.850395,467.3863498,454.5261269,449.0712638,469.4358316,467.5467891,449.9611094,438.8576079
18,1641598555,5499.938181,7461.867126,6230.129694,8741.921642,327.8658262,322.4422429,323.261504,323.5938813,323.1857051,323.3944959,336.1621632,325.7115288,354.5659318,373.0120641,418.2941549,449.4096127,482.0809061,527.9706431,538.5350499,547.3901716,546.6635163,571.3160246,573.189323,567.8247969,553.073232,558.3350249,558.3484575,537.8419842,539.7490157,501.8445975,429.1724595,290.0224129,6669.443305,313.9824836,476.6424236,569.2170061,623.2046213,641.6556709,670.8539334,674.8807302,695.1150984,711.3402843,715.0083916,716.5926318,713.1409398,709.4765676,705.2857577,688.0116278,633.5242695,580.9956971,531.7377173,482.578491,449.8044019,418.7660445,419.9095141,413.2904548,406.0788101,404.8826991,403.2282232,398.1318877,400.3860637
19,1641598556,5499.938181,7461.867126,6230.129694,8741.921642,404.0111385,446.7057197,477.6578273,490.5802687,493.1733975,488.5672932,480.3373814,479.2880136,488.9713693,523.2246172,571.9344368,622.653194,683.0468505,745.9396758,794.6269565,822.4311521,843.8115903,857.7645365,856.9299855,861.5340968,865.8983774,822.0492686,836.5082187,811.8041636,761.0420488,706.4290481,586.6856058,369.510487,6669.443305,363.6756797,542.3329236,641.2815294,668.2828742,686.9213929,691.6183919,669.6454286,680.0183821,669.4811424,659.6392954,661.1210177,654.8175318,642.9004589,625.3894786,589.0237686,536.2107795,478.9958246,434.2464738,395.4187654,364.8917648,316.4253466,345.787507,332.8663395,330.4920574,332.5687899,319.5809757,294.7422603,264.8018127
