time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1641612944.961507,5499.93818147077,7461.867125592628,6230.129693674121,8741.92164229353,612.4320370457443,627.873394881484,651.7131270735614,664.6389997585155,658.729838401146,663.0060331550536,658.070664898535,664.9586453306702,666.4780566530304,715.2181485393111,790.4859265034388,869.4193464606134,936.0005341878817,1012.5379005252099,1035.2526261739208,1018.4714036240782,1028.593700155703,1022.0063600584881,995.3014618697191,986.2058608627308,959.6504571978278,939.6733474990126,899.5248745865787,861.5753014101554,820.3517538227123,748.9599455244586,630.8153454062449,385.4153603581466,6669.443305104257,407.47024431239146,591.6122040661434,667.2690611739765,692.3034016961061,704.6474295702781,704.9198536003934,723.4756388434928,701.7820174384635,693.2200227921868,685.5340983496006,683.066614613831,666.9647666856174,659.939391156491,657.943766594076,645.3100030218035,595.503988231817,548.7376422298729,502.0766873695691,456.6979308032827,424.0106130747201,424.062495394252,423.68148413637334,433.10275916922996,426.6169241837459,436.3312961500699,432.862564793954,429.40889604198935,438.0011415510238,0.0,0.0,0.0
1641612945.971569,5499.93818147077,7461.867125592628,6230.129693674121,8741.92164229353,574.6111728812798,587.272509147159,610.246671437051,613.3326992750345,609.0402285563738,610.3982306658498,605.2710136789965,602.3163620556892,599.1836112578515,648.5098303032885,697.3872668754427,764.6698634051168,819.921947504761,868.3893136145792,887.3246305608787,875.6100730347955,857.9586237109573,856.3906818736411,808.987638966134,806.4322662195506,771.3138142157186,748.3615436405054,718.2478680789801,678.4054834684048,632.8704448779387,579.655932428885,476.13548491999626,286.69321582486043,6669.443305104257,299.70151818100624,450.15997156566465,507.02465423290806,521.7853964993654,525.3046734991037,536.3674113888725,537.5574387914281,525.8745097454334,518.0781794285492,513.9357936551997,510.8003523882888,509.6842159612165,510.33028520753106,498.703318617392,489.4772721996395,448.3770734549214,428.94521794746703,381.81147180251145,352.8172331391991,329.84390247509504,333.0015014981164,338.42281246984516,340.77118422777477,346.18203304042225,344.1046352492218,336.1621632486321,334.55193916640206,341.91958118832565,0.0,0.0,0.0
1641612946.486644,5499.93818147077,7461.867125592628,6230.129693674121,8741.92164229353,629.1486310880761,639.5568778459035,658.9840665752093,664.0880965655084,638.8591394039847,628.6063951313254,614.1433057520044,619.6394112707809,612.1976804921757,645.2317413147,697.2933385598919,749.6992730421979,803.26583395536,852.4159782641336,849.1436863099201,819.0268615863585,807.3078718803627,795.5658363705671,765.7937059025753,740.1925425184991,705.8611761529316,668.2828742381478,634.0725510538995,595.8926077742532,557.280001435544,491.92784023675665,403.5145598364451,246.1422353030865,6669.443305104257,241.5884931034589,342.70687183072357,376.0053191113126,388.64122272347794,384.66738879192764,376.64970463283254,373.3871984950743,361.58124951385406,359.97361014385484,344.65054765660824,348.0014367786432,325.25989608311687,320.6009981269553,318.4163940503064,315.45839662307293,293.429719012918,256.96108654813867,248.78102821557758,234.00213674238105,213.63754351705134,215.7614423385235,211.68136431911054,209.49701668520245,213.00234740490538,227.55438910291315,231.81242417092315,256.45272468819667,290.71291680969387,0.0,0.0,0.0
1641612946.688129,5499.93818147077,7461.867125592628,6230.129693674121,8741.92164229353,1132.9629296671626,1131.993816237527,1136.8702652457755,1120.2986209042658,1078.4748490345057,1037.7191334845859,1006.9687184813638,999.6329326307732,973.0513861045572,993.6941179256321,1038.8806476203126,1104.8628874208782,1137.8049041905208,1163.3988997759968,1118.6465035926228,1057.4842788429528,1005.0402976995499,941.6777580467747,859.5929269136642,789.22873743928,696.5120243039598,630.8169306542113,552.0009057963583,487.1242141384474,427.6564041377143,354.1539213392956,267.5892374517331,155.08062419270823,6669.443305104257,173.87639287723908,266.94006818010666,335.72607882021913,380.1539161971109,416.82850190456026,452.36489695819677,489.52221604335796,515.3882032022076,543.7692525327265,557.886189110288,569.1484867765178,561.4133949239188,559.6043245008029,552.9647366695276,538.9666037891402,498.3833865609888,440.2465218488387,399.06139878469827,358.16895454519783,337.42702914852566,328.68982338977276,315.15869018638847,318.0015723231569,325.74376433018637,350.16853085335924,349.8585428426752,391.2032719699568,461.17241894978935,0.0,0.0,0.0
1641612946.698747,5499.93818147077,7461.867125592628,6230.129693674121,8741.92164229353,1012.1526564703568,1027.261407821787,1049.4917817686805,1030.827337627403,995.7067841488276,967.6548971611728,921.2350405841063,907.2116621825361,883.4941991886534,906.3139632599732,959.8166491575357,1018.7246929372037,1042.253807860638,1067.2099137470566,1024.3148929894558,955.7081144366202,897.7867230027408,860.0145347608958,782.1304239063968,722.6319948632222,653.5357679576535,605.3899569698857,530.4337847460322,485.79522434869614,448.6267936715327,398.43694607804633,322.3553939365681,201.13676938839401,6669.443305104257,240.05416055548798,375.02133272655306,453.10043036836765,509.61357909694675,546.957036703981,586.6327641719306,618.6517598778815,653.6489883721997,656.3794634203603,664.2665127793211,678.4283307763613,664.8383262117189,669.5341664172188,654.2209107021878,634.1900346110777,574.9660859563805,515.3882032022076,460.21299416683144,416.3940441456866,383.0156654759698,372.4741601775887,379.38107491017524,390.5713763193611,391.0626548265636,391.77799836131686,396.5576881110742,409.88291010970437,441.2085674598806,0.0,0.0,0.0
1641612946.892014,5499.93818147077,7461.867125592628,6230.129693674121,8741.92164229353,594.2061931686677,626.84368067326,658.6789809914994,667.402427325523,649.376624155813,637.9921629612702,634.8582518956496,609.0820962727438,629.9245986624113,679.0942497179607,724.6109300859324,792.2928751415097,834.5423895764673,876.954958934608,886.8742864690576,855.5729074719466,847.6821338213989,823.8306864884313,801.3588459610338,774.8509534097509,745.4528824815154,678.4283307763613,675.2695757991767,622.5688716921205,583.6437269430727,527.0768444923377,433.01039248498415,256.8890811225732,6669.443305104257,258.80494585691366,385.24018481980823,436.93134472134176,438.01598144359986,460.00978250467676,465.29238119702757,461.52464722915937,465.72631448094063,453.15449903978663,460.10868281309365,467.5745929795587,474.72307717236583,476.8752457404347,478.07217028394365,461.07808449328843,432.3806193621541,398.1256083197864,353.1925820285585,326.4383555895355,299.54799281584246,288.5550207499429,296.98484809834997,294.21250823172016,284.52943608702424,274.5214017157861,269.8332818612263,223.8861317723811,174.72549899771354,0.0,0.0,0.0
1641612946.893457,5499.93818147077,7461.867125592628,6230.129693674121,8741.92164229353,658.8383716815529,695.5199493903823,732.0689858203256,742.6466185205451,726.097789557302,717.899714444852,706.8833001281046,707.9442068411888,703.6490602566026,747.8696410471547,805.1397394241574,879.7840644158088,927.1402267186987,987.9276289283542,989.663579202549,961.3168052208388,946.7127336209227,932.3443569840491,890.4521323462593,859.9773252824751,828.8063706318865,799.315332018597,749.6645916675003,705.9412156830057,653.7927806270118,588.7817931967666,487.5705077217038,296.23301639081353,6669.443305104257,298.4845054605012,439.94545116411877,490.52013210468743,502.622124463299,525.7699116533771,522.6939831297085,532.5861432669836,529.8018497513953,527.0341544909589,524.79805639884,533.9035493420137,539.0037105623671,544.2765841004002,549.0036429751627,531.3473440227211,496.67796407732845,457.9017361836489,414.2390614126099,379.3283538044579,347.3629226040108,340.5950674921761,341.62113517755307,341.4923132370625,333.5940646954019,326.4506088216103,326.16713507035007,288.1423259432741,252.5173261382276,0.0,0.0,0.0
1641612946.893928,5499.93818147077,7461.867125592628,6230.129693674121,8741.92164229353,678.6670759658228,710.8734064515285,743.3397608092816,762.5968790914371,724.6550903705845,729.8712215178784,703.699509734091,726.5218510134433,712.7706503497461,761.0946064714951,817.5603953225718,877.8524933039719,946.3107312083066,1002.3497393624642,1001.0119879402044,966.8324570472383,949.5641105265089,932.2113494267273,913.6968862812219,874.444395030353,839.86903741,804.9074480957422,753.8255766422362,706.781437220871,668.2828742381478,593.6977345417447,489.3260671576776,302.1208367524491,6669.443305104257,307.8343710504076,446.2869032360237,499.684900712439,514.2616065778195,530.904887903662,526.8054669420203,538.6213883610639,529.2447448959697,543.2246312530389,544.2655601817921,553.6244214266563,533.0309559490893,534.8429676082504,546.8061813842269,543.1252157652045,514.2314653927742,443.22116375462036,429.6102885173957,387.5061289837878,361.9350770511198,349.72131762304684,337.8905148121208,331.59312417479345,330.92597359530424,341.7835572405437,331.25518863860833,308.05843601498725,282.207370562854,0.0,0.0,0.0
1641612946.930098,5499.93818147077,7461.867125592628,6230.129693674121,8741.92164229353,720.0249995659873,756.0423268574319,788.9233169326408,800.2812005788966,776.2840974797822,770.1460900374682,751.7619304008417,758.0534281961925,764.0320673898445,805.0397505713615,870.4625207325126,929.7150100971803,997.6998546657206,1063.0921879122243,1059.9816036139496,1028.2144717907836,1012.5630844544946,1006.7810089587507,974.052359988928,941.4334814526197,893.7186358133079,855.8983584515162,814.9822083947599,774.0497400038321,729.7355685452094,644.274010029894,534.9102728495686,328.95592409926286,6669.443305104257,331.76045575083236,482.0373429517676,529.114354369639,556.1672410345651,560.3588136185599,560.8226101005557,571.4446604877851,563.6204396577541,581.822137770642,583.6197392138138,593.337172272225,576.5084561391966,580.5170109479997,581.7508057579294,593.6210912695067,557.0682184436661,497.4746224683225,465.84224797671584,427.28561876103436,393.7321424522006,383.40709435272584,368.1548587211637,365.3080891521566,355.18586683594265,369.13141291415445,358.93314140658566,332.2845166419886,306.0228749619871,0.0,0.0,0.0
1641612946.997545,5499.93818147077,7461.867125592628,6230.129693674121,8741.92164229353,720.8196723175638,732.6506670985839,753.4056012534019,752.4705974322186,740.6706420535379,739.6350451405071,724.8572273213532,717.6322177828974,738.0867157726117,783.9757649315443,847.3470363434335,916.1768388253438,978.086397001819,1046.3828171372081,1055.909560521165,1033.7122423576109,1013.1520122864091,1010.7779182392144,978.0715720232339,949.682578549275,912.5184929632933,900.1072158359802,843.1684292002399,804.0509934077564,755.2489655736048,674.293704553142,561.5069011152044,344.2920272094607,6669.443305104257,348.2714458579687,498.8236161209692,553.5530688199642,576.531872492753,564.0868727421336,564.2783001321245,558.8067644544042,533.9850185164374,536.0596981680305,524.218465909014,515.9428262898904,489.70297119784766,483.16042884325697,481.06548410793306,471.1698207652948,434.225747739583,434.225747739583,354.3458762282976,322.56007192459515,299.9766657591887,285.68689154387187,272.2590678012396,267.9346935355703,265.2112365643658,274.0456166407337,266.0,288.3123306416151,320.4496840379157,0.0,0.0,0.0
