time,Subcar_0,Subcar_1,Subcar_2,Subcar_3,Subcar_4,Subcar_5,Subcar_6,Subcar_7,Subcar_8,Subcar_9,Subcar_10,Subcar_11,Subcar_12,Subcar_13,Subcar_14,Subcar_15,Subcar_16,Subcar_17,Subcar_18,Subcar_19,Subcar_20,Subcar_21,Subcar_22,Subcar_23,Subcar_24,Subcar_25,Subcar_26,Subcar_27,Subcar_28,Subcar_29,Subcar_30,Subcar_31,Subcar_32,Subcar_33,Subcar_34,Subcar_35,Subcar_36Subcar_37,Subcar_38,Subcar_39,Subcar_40,Subcar_41,Subcar_42,Subcar_43,Subcar_44,Subcar_45,Subcar_46,Subcar_47,Subcar_48,Subcar_49,Subcar_50,Subcar_51,Subcar_52,Subcar_53,Subcar_54,Subcar_55,Subcar_56,Subcar_57,Subcar_58,Subcar_59,Subcar_60,Subcar_61,Subcar_62,Subcar_63
1625554196,4343.04985,11583.1162,6556.174571,9442.766173,866.1991688,887.9290512,905.7560378,904.1913514,895.8978736,876.2083086,872.7158759,874.082376,867.1637677,873.4712359,885.7409328,890.7687691,916.4987725,886.0931102,879.0961267,872.0808449,867.2721603,820.9537137,816.0618849,802.6668051,817.4753819,814.8404752,784.6967567,756.6875181,713.9425747,680.2830293,592.0076013,357.9748595,1225.489698,340.124977,552.9846291,624.5774572,637.2166037,654.4715425,663.7175604,664.7119677,645.6136616,645.6136616,590.641177,574.7181918,557.2477008,522.1877057,499.5247742,443.0677149,409.121009,390.2435137,350.0057142,315.3981611,284.397609,224.5551157,223.6470434,193.2588937,175.8891696,183.521116,182.9125474,239.6768658,312.0785158,2146.567725,4778.184592
1625554197,4343.04985,11583.1162,6556.174571,9442.766173,840.4010947,859.684826,886.5991202,888.9814396,879.2752698,863.3915682,854.1100632,829.7523727,857.8187454,862.7861844,863.9351828,867.4214662,846.4242435,860.8327364,855.462448,863.1199221,856.3206175,809.9382693,804.1747323,790.509962,807.0892144,779.1944558,777.6046553,766.4156836,696.5701688,672.086304,583.8852627,349.4681674,1225.489698,340.1543767,542.5541448,618.1423784,617.8235994,658.678981,656.2697616,649.5921798,644.4261013,604.3550281,583.7233934,564.1639833,553.6587397,520.5045629,489.9846936,433.2539671,405.938419,386.5242554,342.8410711,307.0586263,277.1948773,224.8043594,228.1161985,205.8057336,178.809955,191.0837513,169.5435047,230.4126733,296.3190848,2146.567725,4778.184592
1625554197,4343.04985,11583.1162,6556.174571,9442.766173,830.0036144,846.4354671,868.2562986,857.1843442,845.5684479,824.8696867,827.8357325,836.4598018,841.6751155,845.4312509,864.5889197,835.5501182,869.7516887,853.4078743,804.9012362,796.4301602,793.0510702,830.171669,813.823691,806.9398986,741.8369093,781.5171143,722.0533221,692.3185683,716.8967848,617.3920958,530.9048879,364.1373367,1225.489698,342.9475179,492.1077118,556.4862981,631.5267215,584.5784806,596.6615456,645.2735854,575.7820768,619.6660391,614.3427382,580.59969,487.4689734,455.3866489,421.8589812,461.3458572,420.5258613,339.5541194,372.4352293,340.9222785,305.6010471,238.4156035,189.9289341,167.8689965,162.0030864,211.9811312,199.2510979,175.6359872,157.8480282,2146.567725,4778.184592
1625554197,4343.04985,11583.1162,6556.174571,9442.766173,799.1157613,837.1959149,884.8649614,890.9820425,900.5687092,894.2152985,869.8884986,872.570914,856.703566,858.264528,875.4267531,900.3849177,883.602852,855.8621384,891.0005612,881.5406967,885.69182,819.4589679,808.9480824,790.2309789,835.9360023,782.0652147,808.4862398,789.230638,707.0254592,699.4833808,599.7307729,360.0999861,1225.489698,340.124977,560.0446411,645.728271,629.3631702,698.2585481,688.44535,644.6433122,682.074776,611.2552658,568.1487481,560.4828276,592.4229908,563.7987229,532.5805103,421.1994777,393.029261,413.5661978,311.7707491,276.3421792,249.0180716,265.4147697,270.2480342,249.0642487,227.3697429,131.552271,113.137085,92.07062507,85,2146.567725,4778.184592
1625554197,4343.04985,11583.1162,6556.174571,9442.766173,864.0700203,884.6722557,910.1406485,897.4274344,899.6088039,876.2562411,874.0022883,852.0991726,867.9412423,883.4483573,882.818781,883.2242071,911.5421,884.2652317,872.8447743,863.3846188,853.4787636,854.3939372,823.7438922,829.0024125,804.052859,815.4734821,784.4615988,765.5409852,729.4881767,671.2927826,588.9185003,369.8175226,1225.489698,355.1408171,554.9387354,622.2740554,641.7889061,655.4120841,669.1023838,685.8804561,652.651515,650.369126,621.1867674,597.1298016,557.2862819,531.116748,483.4728534,473.9419796,433.2066481,376.860717,370.1094433,346.7708177,302.8696089,233.5401464,209.5709904,179.0446872,159.7654531,195.4737834,181.7965896,174.9771414,179.4268653,2146.567725,4778.184592
1625554197,4343.04985,11583.1162,6556.174571,9442.766173,882.655652,887.1375316,897.0050167,896.7011765,887.5950653,873.8706998,856.887974,872.0550441,867.4214662,891.1767501,884.4942057,863.669497,866.776211,883.5796512,842.8546731,835.174832,836.8440715,866.2251439,860.4888146,848.5717412,781.7985674,801.1304513,747.1251569,734.6972165,741.4283512,639.8788948,556.9245909,387.0723447,1225.489698,383.5635541,515.8614155,599.2261677,677.366223,649.8199751,630.967511,681.3780155,616.6360353,663.549546,641.6268386,613.9096025,525.7803724,489.8264999,455.1889717,490.7321061,459.7434067,369.7742555,380.422134,352.8469923,310.9421168,265.4147697,209.3466026,180.709712,167.0449041,191.6350699,160.4400199,147.9222769,167.2871782,2146.567725,4778.184592
1625554197,4343.04985,11583.1162,6556.174571,9442.766173,813.4482159,828.6163165,844.6360163,859.3951361,828.2324553,822.2682044,803.299446,815.4360797,826.5137627,828.8425665,835.1580689,826.9425615,878.956768,829.7981682,791.403816,788.8681766,786.0432558,800.7477755,801.499844,775.8176332,752.1096994,759.5004937,711.5195008,692.1228215,698.2907704,625.6172952,524.8285434,362.4155074,1225.489698,343.0714211,493.5686376,568.4760329,628.9244788,605.4659363,604.7024061,642.2413876,587.2052452,612.9437168,590.0076271,577.0207969,496.0040322,458.5738763,433.3358974,444.9325792,430.2975715,331.7890896,364.1661709,332.9894893,300.123308,238.096619,182.4390309,159.0125781,149.2012064,208.0024038,196.7587355,235.9872878,279.0161286,2146.567725,4778.184592
1625554197,4343.04985,11583.1162,6556.174571,9442.766173,852.129685,868.6598874,884.8598759,896.8255126,870.5538467,859.0809042,838.7729132,859.0285211,859.2002095,874.8497014,870.8989608,836.9617673,883.2949677,882.8323737,822.9763059,823.0996294,826.370377,855.4934249,850.2099741,832.9477775,770.1486869,801.6108782,740.7698698,723.4694188,723.4694188,635.0070866,552.7503957,378.382082,1225.489698,365.3956759,513.7518856,585.123064,670.6668323,629.0985614,627.6471939,669.1487129,607.8922602,665.5862078,640.875963,611.3591416,524.6303461,485.3720223,456.4832965,482.0290448,452.1437824,351.819556,384.8843982,346.0996966,319.3305497,242.9979424,195.3586445,168.3597339,155.0129027,206.3443723,188.9047379,158.0284784,138.7731963,2146.567725,4778.184592
1625554197,4343.04985,11583.1162,6556.174571,9442.766173,831.2911644,856.4887623,894.9106101,885.8905124,909.4624786,887.8569705,875.4456008,877.5425916,862.473188,869.85631,868.337492,892.9328082,898.1007739,866.7508292,885.6297195,869.326751,867.0098039,847.0005903,831.5389347,829.769245,812.5176921,789.6454901,789.4308076,765.0444432,743.4245086,685.1868358,584.3372314,375.9175442,1225.489698,363.5216637,548.8478842,618.3283917,669.0478309,672.548883,668.8527491,651.4115443,660.5527988,649.6468271,622.675678,588.6501508,585.6159151,551.7100688,506.9280028,448.7772276,418.1686263,407,338.0961402,304.0559159,273.0293025,290.6578745,252.8418478,252.8418478,216.3330765,138.0507153,109.2245394,83.24061509,106.9626103,2146.567725,4778.184592
1625554197,4343.04985,11583.1162,6556.174571,9442.766173,848.2175429,877.0689825,902.8892512,913.8407958,887.6085849,879.8210045,858.6669902,867.265242,871.7545526,874.5152943,874.5152943,862.8470316,877.7066708,891.8307014,848.9581851,842.4939169,841.4998515,860.4446525,865.7262847,841.0071343,793.3574226,821.3677617,757.0237777,742.1947184,756.5183408,650.3322228,560.3302598,384.7596652,1225.489698,369.4116945,522.1206757,600.4040306,682.7569114,643.3428324,638.5491367,677.8215104,631.845709,670.3916766,655.9855181,622.7880859,529.4572693,499.2684649,454.4722214,489.5804326,469.9106298,351.4541222,392.5060509,345.1753178,323.1547617,247.3863375,185.7444481,156.8470593,142.6359001,200.6888138,177.476759,157.8353573,145.3822548,2146.567725,4778.184592
